container,interactivity level,delay,duration,num commands,num keystrokes,attacker_ip,time of log
DESKTOP-4AJRJA,non-interactive,2,,0,0,170.64.132.122,2024-10-24 21:14:03.569758
DESKTOP-4AJRJA,non-interactive,1,,0,0,170.64.132.122,2024-10-24 21:16:03.886500
DESKTOP-5AJRJA,interactive,1,,0,0,43.128.122.98,2024-10-24 21:19:03.971133
DESKTOP-4AJRJA,non-interactive,10,,0,0,206.189.22.108,2024-10-24 21:21:03.963151
DESKTOP-4AJRJA,non-interactive,2,,0,0,178.62.105.223,2024-10-24 21:24:03.912743
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.117.104,2024-10-24 21:25:04.139876
DESKTOP-4AJRJA,non-interactive,2,,0,0,206.189.22.108,2024-10-24 21:30:03.858078
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.117.104,2024-10-24 21:30:07.005086
DESKTOP-4AJRJA,non-interactive,30,,0,0,206.189.22.108,2024-10-24 21:32:03.788276
DESKTOP-4AJRJA,non-interactive,2,,0,0,206.189.26.130,2024-10-24 21:34:03.880472
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.117.104,2024-10-24 21:35:04.414006
DESKTOP-4AJRJA,non-interactive,5,,0,0,206.189.22.108,2024-10-24 21:38:04.056180
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.117.104,2024-10-24 21:40:03.946959
DESKTOP-4AJRJA,non-interactive,5,,0,0,206.189.26.130,2024-10-24 21:41:04.243909
DESKTOP-5AJRJA,interactive,1,,0,0,139.19.117.131,2024-10-24 21:41:07.109709
DESKTOP-4AJRJA,non-interactive,0,,0,0,206.189.22.108,2024-10-24 21:44:04.520082
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.117.104,2024-10-24 21:46:03.521981
DESKTOP-4AJRJA,non-interactive,5,,0,0,178.62.105.223,2024-10-24 21:47:04.436353
DESKTOP-4AJRJA,non-interactive,30,,0,0,206.189.22.108,2024-10-24 21:49:03.972752
DESKTOP-5AJRJA,non-interactive,10,,0,0,146.190.117.104,2024-10-24 21:52:04.560137
DESKTOP-4AJRJA,non-interactive,10,,0,0,178.62.105.223,2024-10-24 21:53:03.630629
DESKTOP-4AJRJA,non-interactive,0,,0,0,206.189.22.108,2024-10-24 21:55:04.011551
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.117.104,2024-10-24 21:57:04.258181
DESKTOP-4AJRJA,non-interactive,0,,0,0,178.62.105.223,2024-10-24 21:59:03.888782
DESKTOP-4AJRJA,non-interactive,30,,0,0,206.189.26.130,2024-10-24 22:01:03.731478
DESKTOP-5AJRJA,interactive,10,,0,0,146.190.117.104,2024-10-24 22:03:04.227766
DESKTOP-4AJRJA,non-interactive,2,,0,0,178.62.105.223,2024-10-24 22:05:04.250563
DESKTOP-4AJRJA,non-interactive,30,,0,0,206.189.22.108,2024-10-24 22:07:04.338608
DESKTOP-5AJRJA,non-interactive,30,,0,0,170.64.142.89,2024-10-24 22:08:03.976024
DESKTOP-5AJRJA,non-interactive,2,,0,0,,2024-10-24 22:09:04.356581
DESKTOP-5AJRJA,non-interactive,5,,0,0,,2024-10-24 22:10:04.368831
DESKTOP-4AJRJA,interactive,5,,0,0,178.62.105.223,2024-10-24 22:11:03.806778
DESKTOP-5AJRJA,non-interactive,10,,0,0,170.64.142.89,2024-10-24 22:11:06.817204
DESKTOP-4AJRJA,non-interactive,2,,0,0,206.189.22.108,2024-10-24 22:13:04.256136
DESKTOP-5AJRJA,non-interactive,30,,0,0,170.64.142.89,2024-10-24 22:13:06.967239
DESKTOP-4AJRJA,non-interactive,10,,0,0,,2024-10-24 22:14:04.554916
DESKTOP-4AJRJA,non-interactive,1,,0,0,178.62.105.223,2024-10-24 22:17:03.826398
DESKTOP-4AJRJA,non-interactive,5,,0,0,206.189.22.108,2024-10-24 22:19:03.677784
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.117.104,2024-10-24 22:19:06.447807
DESKTOP-4AJRJA,non-interactive,0,,0,0,206.189.26.130,2024-10-24 22:21:03.863172
DESKTOP-4AJRJA,non-interactive,5,,0,0,,2024-10-24 22:22:04.105382
DESKTOP-4AJRJA,non-interactive,1,,0,0,206.189.22.108,2024-10-24 22:24:04.194437
DESKTOP-5AJRJA,interactive,2,,0,0,92.255.85.107,2024-10-24 22:24:07.309716
DESKTOP-4AJRJA,non-interactive,0,,0,0,206.189.26.130,2024-10-24 22:28:03.674809
DESKTOP-4AJRJA,non-interactive,1,,0,0,206.189.22.108,2024-10-24 22:30:04.359595
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.117.104,2024-10-24 22:30:07.061291
DESKTOP-4AJRJA,non-interactive,5,,0,0,178.62.105.223,2024-10-24 22:34:05.287832
DESKTOP-4AJRJA,non-interactive,10,,0,0,206.189.22.108,2024-10-24 22:36:03.787081
DESKTOP-5AJRJA,interactive,1,,0,0,139.19.117.131,2024-10-24 22:36:06.555299
DESKTOP-4AJRJA,non-interactive,30,,0,0,178.62.105.223,2024-10-24 22:40:03.813063
DESKTOP-4AJRJA,non-interactive,2,,0,0,,2024-10-24 22:41:03.733788
DESKTOP-5AJRJA,interactive,2,,0,0,85.192.56.68,2024-10-24 22:42:04.106137
DESKTOP-4AJRJA,non-interactive,30,,0,0,178.62.105.223,2024-10-24 22:46:03.589687
DESKTOP-4AJRJA,interactive,30,,0,0,206.189.22.108,2024-10-24 22:48:03.454778
DESKTOP-4AJRJA,interactive,0,,0,0,35.92.132.207,2024-10-24 22:52:04.027362
DESKTOP-4AJRJA,non-interactive,1,,0,0,206.189.22.108,2024-10-24 22:54:04.386190
DESKTOP-4AJRJA,non-interactive,10,,0,0,178.62.105.223,2024-10-24 22:58:03.910466
DESKTOP-4AJRJA,non-interactive,1,,0,0,206.189.22.108,2024-10-24 23:00:04.004933
DESKTOP-5AJRJA,non-interactive,30,,0,0,10.182.116.240,2024-10-24 23:00:06.954227
DESKTOP-4AJRJA,non-interactive,10,,0,0,206.189.26.130,2024-10-24 23:02:03.859769
DESKTOP-4AJRJA,non-interactive,5,,0,0,178.62.105.223,2024-10-24 23:04:04.159971
DESKTOP-4AJRJA,non-interactive,0,,0,0,,2024-10-24 23:05:04.586562
DESKTOP-4AJRJA,non-interactive,2,,0,0,206.189.26.130,2024-10-24 23:08:04.095087
DESKTOP-4AJRJA,non-interactive,5,,0,0,178.62.105.223,2024-10-24 23:10:03.738273
DESKTOP-4AJRJA,non-interactive,5,,0,0,,2024-10-24 23:11:04.523557
DESKTOP-4AJRJA,interactive,0,,0,0,92.255.85.107,2024-10-24 23:13:03.999311
DESKTOP-5AJRJA,interactive,1,,0,0,47.95.143.46,2024-10-24 23:13:06.956346
DESKTOP-4AJRJA,non-interactive,30,,0,0,206.189.26.130,2024-10-24 23:15:03.964766
DESKTOP-4AJRJA,non-interactive,30,,0,0,206.189.22.108,2024-10-24 23:17:03.812521
DESKTOP-4AJRJA,non-interactive,10,,0,0,178.62.105.223,2024-10-24 23:22:04.038821
DESKTOP-4AJRJA,non-interactive,2,,0,0,178.62.105.223,2024-10-24 23:28:04.495916
DESKTOP-4AJRJA,non-interactive,30,,0,0,178.62.105.223,2024-10-24 23:33:03.796353
DESKTOP-4AJRJA,non-interactive,0,,0,0,206.189.22.108,2024-10-24 23:35:03.474504
DESKTOP-5AJRJA,interactive,1,,0,0,139.19.117.131,2024-10-24 23:36:03.548783
DESKTOP-4AJRJA,non-interactive,10,,0,0,178.62.105.223,2024-10-24 23:39:03.960503
DESKTOP-4AJRJA,non-interactive,10,,0,0,206.189.22.108,2024-10-24 23:41:04.015409
